junction,corridor,event_count,avg_risk_score,high_priority_rate,junction_risk_score,priority_rank
GoruguntepalyaJunc,ORR North 2,3,100.0,1.0,86.67,129
OldMadrasRd-DoubleRdJunc,Old Madras Road,3,99.98666666666666,1.0,86.66,130
5thMainRPC Layout-Vijayanagar,West of Chord Road,3,99.98666666666666,1.0,86.66,131
KuvempuCircle,ORR North 2,3,99.99666666666667,1.0,86.66,132
YeshwanthpuraCircle,CBD 2,3,99.99,1.0,86.66,133
CashPharmacyJunction,Mysore Road,3,99.98666666666666,1.0,86.66,134
J D MaraJunc,Bannerghata Road,3,99.96666666666665,1.0,86.64,135
5thMainHSR,ORR East 1,3,99.95,1.0,86.63,136
OldMadrasRd-SuddaguntepalyaRdJunc,Old Madras Road,3,99.95666666666666,1.0,86.63,137
ShivanahalliJunctionWOC,West of Chord Road,3,99.95666666666666,1.0,86.63,138
"Narayanapura cross, Hegde nagar",Hennur Main Road,3,99.94666666666667,1.0,86.62,139
WebbsCircle,Old Madras Road,3,99.92999999999999,1.0,86.61,140
AnjaneyaTempleJunc,Old Madras Road,3,99.91666666666667,1.0,86.6,141
BM ShriJunc(CMH-100FtRd)Junc,IRR(Thanisandra road),3,99.69666666666667,1.0,86.42,142
"Bellandur Junction, Outer ring road",ORR East 1,3,99.68333333333334,1.0,86.41,143
SonyworldJunction,IRR(Thanisandra road),3,99.58333333333333,1.0,86.33,144
ModiBridgeJunction,West of Chord Road,3,99.33,1.0,86.13,145
Shivajinagar(BRV)Junction,CBD 1,3,98.83333333333333,1.0,85.73,146
AyyappaTempleJunc,IRR(Thanisandra road),2,99.99,1.0,85.28,147
HSR14thMainJunc,ORR East 1,2,100.0,1.0,85.28,148
MaratahalliBridgeJunc,ORR East 1,2,99.99,1.0,85.28,149
MaratahalliBridgeJunc,ORR East 2,2,100.0,1.0,85.28,150
CholurpalyaJunction(MagadiRd),West of Chord Road,2,99.995,1.0,85.28,151
UCO Bank(Forum),Hosur Road,2,99.97999999999999,1.0,85.27,152
Fire Force Junction,West of Chord Road,2,99.985,1.0,85.27,153
OperaHouseJunc,Old Madras Road,2,99.975,1.0,85.26,154
Arts&CraftsCircle,Old Madras Road,2,99.96000000000001,1.0,85.25,155
BhadrappaLayout,ORR North 2,2,99.95,1.0,85.24,156
ManipalCentreJunc,Old Madras Road,2,99.93,1.0,85.23,157
JohnsonMarket,Hosur Road,2,99.91499999999999,1.0,85.22,158
MysoreRd--MadhuPetrolBunkJunction,Mysore Road,4,96.8375,1.0,85.21,159
Rajajinagagr1stBlockJunction,West of Chord Road,2,99.86,1.0,85.17,160
Delmia-Jayanagar,ORR West 1,3,98.04,1.0,85.1,161
AdugodiJunc,Hosur Road,2,99.63499999999999,1.0,84.99,162
Dr RajkumarRd-10thCrossRdJunc,West of Chord Road,2,99.60499999999999,1.0,84.97,163
Indiranasgar13thMainJunc,IRR(Thanisandra road),2,99.5,1.0,84.88,164
DevangaHostelJunction,Mysore Road,2,99.395,1.0,84.8,165
BegumMahalJunc,Old Madras Road,2,99.305,1.0,84.73,166
DevegowdaPetrolBunkJunc,ORR West 1,2,98.535,1.0,84.11,167
NCERT Junction,ORR West 1,1,99.99,1.0,83.33,168
ChandraLayoutJunc-nearWaterTank,Bellary Road 1,1,99.99,1.0,83.33,169
ChandraLayoutJunc-nearWaterTank,West of Chord Road,1,99.99,1.0,83.33,170
YelhankaCircle,Bellary Road 1,1,100.0,1.0,83.33,171
AttiguppeCircleJunction,West of Chord Road,1,99.99,1.0,83.33,172
YeshwanthpuraCircle,Magadi Road,1,100.0,1.0,83.33,173
YeshwanthpuraCircle,ORR North 1,1,100.0,1.0,83.33,174
TumkurRdMarappanapalyaJunc,West of Chord Road,1,100.0,1.0,83.33,175
YeshwanthpuraCircle,Bellary Road 1,1,100.0,1.0,83.33,176
YeshwanthpuraCircle,Bellary Road 2,1,100.0,1.0,83.33,177
OldMadrasRd-BMTC DepotJunc,Old Madras Road,1,99.98,1.0,83.32,178
JohnsonMarket,Mysore Road,1,99.98,1.0,83.32,179
MaratahalliBridgeJunc,Old Airport Road,1,99.97,1.0,83.31,180
KHB Junction,Magadi Road,1,99.96,1.0,83.3,181
KodigehalliCross,Bellary Road 2,1,99.96,1.0,83.3,182
ModiHospital,West of Chord Road,1,99.93,1.0,83.28,183
RajarajeshwariKalyanaMantapaJunc,West of Chord Road,1,99.92,1.0,83.27,184
PuttammaChoultryNagarbhavi,West of Chord Road,1,99.91,1.0,83.26,185
TamarikannanJunc,Old Madras Road,1,99.89,1.0,83.25,186
KamakyaJunction,ORR West 1,1,99.9,1.0,83.25,187
"KuvempuCircleJunc,HAL MainGate",Old Airport Road,1,99.8,1.0,83.17,188
BhashyamCircle,West of Chord Road,1,99.77,1.0,83.15,189
DairyCircle,Bannerghata Road,4,94.0075,1.0,82.95,190
SafinaPlazaJunc,CBD 1,1,99.4,1.0,82.85,191
GorappanapalyaJunction,Bannerghata Road,1,99.33,1.0,82.8,192
RoyanCircle-Chamrajpete,Mysore Road,1,99.06,1.0,82.58,193
SwagathMainRd-EastEndRdJunc,Bannerghata Road,1,98.89,1.0,82.45,194
HennurRd-DavisRdJunction,Airport New South Road,5,90.148,1.0,80.73,195
KanakapuraRd-RingRdJunction,ORR West 1,7,83.11714285714285,0.8571428571428571,76.49,196
28thMainJayanagarJunc,Bannerghata Road,1,47.23,0.0,41.12,197
K R Circle,Non-corridor,31,0.0,0.0,16.67,198
Devasandra(k r puram),Non-corridor,30,0.0,0.0,16.51,199
KhodaysCircle(DV UrsCircle),Non-corridor,23,0.0,0.0,15.28,200
KrishnaFlourMill,Non-corridor,19,0.0,0.0,14.41,201
ShantalaJunction,Non-corridor,15,0.0,0.0,13.33,202
UttarahalliJunction,Non-corridor,15,0.0,0.0,13.33,203
SadashivnagarJunc,Non-corridor,13,0.003076923076923077,0.0,12.69,204
BanashankariBusStandJunc,Non-corridor,13,0.0,0.0,12.69,205
ShivandaCircle,Non-corridor,12,0.0016666666666666668,0.0,12.34,206
StateBankofMysoreJunc,Non-corridor,12,0.0025,0.0,12.34,207
FTI Junction(KanteeravaStudio),Non-corridor,11,0.02090909090909091,0.0,11.97,208
BloodBankCircle,Non-corridor,11,0.022727272727272728,0.0,11.97,209
BucheryJunction,Non-corridor,11,0.01,0.0,11.96,210
VeerasandraGateJunction,Non-corridor,11,0.0,0.0,11.95,211
BMTCJunction-K H Road,Non-corridor,10,0.005,0.0,11.54,212
Arbindo Circle,Non-corridor,10,0.0,0.0,11.53,213
HopefarmJunction,Non-corridor,10,0.0,0.0,11.53,214
Nagarbhavi,Non-corridor,9,0.07555555555555554,0.0,11.13,215
CID-CarltonHouseJunc,Non-corridor,9,0.003333333333333333,0.0,11.08,216
KarnatakaBhavanJunction,Non-corridor,9,0.005555555555555556,0.0,11.08,217
SindhiColonyJunction,Non-corridor,9,0.0022222222222222222,0.0,11.07,218
SubbannaJunction,Non-corridor,9,0.0,0.0,11.07,219
MillCornerRd-SampigeRdJunc,Non-corridor,9,0.0,0.0,11.07,220
SandeepUnnikrishnan-Yelhanka,Non-corridor,8,0.051250000000000004,0.0,10.61,221
PurnimaTheaterJunc,Non-corridor,8,0.01375,0.0,10.58,222
Marigowda-TavarkereRdJunc,Non-corridor,8,0.02,0.0,10.58,223
WilsonGarden12thCrossJunc,Non-corridor,8,0.00125,0.0,10.57,224
SubedarChatramRd near SheshadripuramPS,Non-corridor,8,0.0,0.0,10.57,225
BigBazaar(Whitefield)Junc,Non-corridor,8,0.0,0.0,10.57,226
